Team 1: ,49ers,49ers,Bengals,Saints
Team 1 Point Differential,-9,-9,-3,1
Team 2:,Colts,Titans,Commanders,Colts
Team 2 Point Differential,0,-1,6,0
Running Total,-9,-10,3,1
Team 1: ,Browns,Giants,Giants,Browns
Team 1 Point Differential,-1,3,3,-1
Team 2:,Packers,Packers,Rams,Rams
Team 2 Point Differential,17,17,4,4
Running Total,7,10,10,4
Team 1: ,Texans,Texans,Chargers,Bears
Team 1 Point Differential,-3,-3,-28,3
Team 2:,Falcons,Saints,Seahawks ,Falcons
Team 2 Point Differential,4,-8,-4,4
Running Total,8,-1,-22,11
Team 1: ,Steelers,Bears,Steelers,Steelers
Team 1 Point Differential,-4,-8,-4,-4
Team 2:,Giants,Falcons,Bears,Giants
Team 2 Point Differential,8,3,-8,8
Running Total,12,-6,-34,15
Team 1: ,Jaguars ,Jaguars,Bills,Vikings
Team 1 Point Differential,-7,-7,35,7
Team 2:,Bucs,Vikings,Bucs,Bills
Team 2 Point Differential,6,7,6,35
Running Total,11,-6,7,57
Team 1: ,Bears,Bucs,Packers,Bucs
Team 1 Point Differential,-5,-2,-17,-2
Team 2:,Rams ,Rams,49ers,49ers
Team 2 Point Differential,14,14,-14,-14
Running Total,20,6,-24,41
Team 1: ,Patriots,Patriots ,Patriots,Patriots 
Team 1 Point Differential,-19,-19,-19,-19
Team 2:,Raiders,Dolphins,Raiders,Raiders
Team 2 Point Differential,18,6,18,18
Running Total,19,-7,-25,40
Team 1: ,Titans,Cowboys,Panthers,Cowboys
Team 1 Point Differential,7,20,-3,20
Team 2:,Eagles,Eagles,Eagles,Eagles
Team 2 Point Differential,22,22,22,22
Running Total,48,35,-6,82
Team 1: ,Eagles,Bengals ,Jags,Jags
Team 1 Point Differential,12,21,7,7
Team 2:,Vikings,Raiders,Chiefs,Bengals
Team 2 Point Differential,3,7,3,21
Running Total,63,63,4,110
Team 1: ,Saints,Bills,Bears,Titans
Team 1 Point Differential,-10,-3,-1,7
Team 2:,Chiefs ,Chiefs,Dolphins,Chiefs
Team 2 Point Differential,10,10,22,10
Running Total,63,70,25,127
Team 1: ,Ravens,Ravens,Ravens,Ravens
Team 1 Point Differential,10,10,10,10
Team 2:,Commanders,Commanders,Falcons,Commanders
Team 2 Point Differential,13,13,3,13
Running Total,86,93,38,150
Team 1: ,Dolphins,Dolphins,Chiefs,Dolphins
Team 1 Point Differential,15,15,16,15
Team 2:,Broncos,Broncos,Jets,Broncos
Team 2 Point Differential,-13,-13,21,-13
Running Total,88,95,75,152
Team 1: ,Lions ,Lions ,Lions,Lions
Team 1 Point Differential,26,26,26,26
Team 2:,Seahawks ,Browns,Browns,Ravens
Team 2 Point Differential,4,13,13,1
Running Total,118,134,114,179
Team 1: ,Cowboys,Cowboys,Cowboys,Cowboys 
Team 1 Point Differential,4,4,4,4
Team 2:,Bills,Seahawks ,Titans,Seahawks 
Team 2 Point Differential,8,-6,-14,-6
Running Total,130,132,104,177
Team 1: ,Chiefs ,Chiefs ,Saints,Chiefs
Team 1 Point Differential,6,6,3,6
Team 2:,Panthers,Steelers ,Eagles,Packers
Team 2 Point Differential,-8,8,5,12
Running Total,128,146,112,195
Team 1: ,Chargers ,Chargers,Broncos,Jets
Team 1 Point Differential,17,17,-37,-16
Team 2:,Bengals,Panthers,49ers,Bills
Team 2 Point Differential,4,14,17,22
Running Total,149,177,92,201
Team 1: ,Cowboys,49ers,Texans,Chargers
Team 1 Point Differential,14,3,-28,21
Team 2:,Cardinals,Cardinals,Cardinals,Cardinals
Team 2 Point Differential,-1,-1,-1,-1
Running Total,162,179,63,221
Team 1: ,Jets,Colts,Colts,Texans
Team 1 Point Differential,-5,-1,-1,1
Team 2:,49ers,Jets,Bills,Panthers
Team 2 Point Differential,25,-5,12,3
Running Total,182,173,74,225
